,,,,,,
Terms,Coef,SE Coef,95% CI,T-Value,P-Value,VIF
Constant,4.24,1.15,"(1.99, 6.50)",3.69,0,
Distance(mi),0.07274,0.00505,"(0.06285, 0.08264)",14.41,0,2.67
Temperature(F),0.00402,0.00684,"(-0.00939, 0.01743)",0.59,0.557,275.7
Wind_Chill(F),-0.00434,0.00561,"(-0.01533, 0.00665)",-0.77,0.439,279.7
Humidity(%),-0.000855,0.000704,"(-0.002236, 0.000526)",-1.21,0.225,3.31
Pressure(in),-0.0532,0.0317,"(-0.1153, 0.0090)",-1.68,0.093,14.09
Visibility(mi),-0.00361,0.00288,"(-0.00925, 0.00203)",-1.25,0.21,2.67
Wind_Speed(mph),0.00027,0.00248,"(-0.00460, 0.00514)",0.11,0.913,5.01
Precipitation(in),-0.045,0.223,"(-0.482, 0.391)",-0.2,0.838,1.9
Junction,-0.0651,0.0215,"(-0.1073, -0.0229)",-3.02,0.003,1.49
Traffic_Signal,0.1702,0.0386,"(0.0946, 0.2458)",4.41,0,1.46
Sunrise_Sunset,-0.0033,0.0387,"(-0.0791, 0.0725)",-0.08,0.933,7.81
Civil_Twilight,0.0602,0.0462,"(-0.0303, 0.1508)",1.3,0.192,10.23
Nautical_Twilight,0.0148,0.0503,"(-0.0838, 0.1134)",0.29,0.769,10.77
Astronomical_Twilight,-0.0429,0.0504,"(-0.1416, 0.0558)",-0.85,0.394,9.38
Duration,-0.01788,0.00504,"(-0.02775, -0.00800)",-3.55,0,3.07
City,,,,,,
Addison,-0.188,0.733,"(-1.625, 1.249)",-0.26,0.798,3.03
Adel,0.198,0.671,"(-1.117, 1.512)",0.29,0.768,5.06
Aitkin,-0.562,0.846,"(-2.220, 1.097)",-0.66,0.507,2.02
Akron,0.302,0.611,"(-0.896, 1.499)",0.49,0.621,27.23
Albany,-0.232,0.61,"(-1.428, 0.964)",-0.38,0.704,29.24
Albers,1.437,0.848,"(-0.224, 3.099)",1.7,0.09,2.02
Albion,0.128,0.735,"(-1.313, 1.568)",0.17,0.862,3.04
Albuquerque,-0.335,0.734,"(-1.773, 1.104)",-0.46,0.648,3.03
Alexandria,-0.242,0.657,"(-1.529, 1.046)",-0.37,0.713,6.07
Alford,0.603,0.735,"(-0.838, 2.043)",0.82,0.412,3.04
Allen Park,-0.361,0.656,"(-1.647, 0.925)",-0.55,0.582,6.06
Allendale,-0.46,0.692,"(-1.818, 0.897)",-0.66,0.506,4.05
Allentown,1.527,0.846,"(-0.132, 3.186)",1.8,0.071,2.02
Allston,-0.4,0.846,"(-2.059, 1.259)",-0.47,0.637,2.02
Allyn,1.684,0.847,"(0.024, 3.343)",1.99,0.047,2.02
Alpena,1.651,0.734,"(0.212, 3.091)",2.25,0.025,3.04
Alpine,-0.55,0.846,"(-2.208, 1.109)",-0.65,0.516,2.02
Alsip,0.525,0.656,"(-0.760, 1.810)",0.8,0.423,6.05
American Fork,-0.242,0.846,"(-1.900, 1.417)",-0.29,0.775,2.02
Ames,1.199,0.648,"(-0.072, 2.470)",1.85,0.064,7.1
Amherst,1.214,0.733,"(-0.223, 2.652)",1.66,0.098,3.03
Amidon,-0.484,0.852,"(-2.155, 1.187)",-0.57,0.57,2.05
Amity,1.396,0.846,"(-0.263, 3.055)",1.65,0.099,2.02
Ancram,1.452,0.734,"(0.013, 2.891)",1.98,0.048,3.03
Andover,0.198,0.734,"(-1.241, 1.637)",0.27,0.788,3.03
Ann Arbor,1.011,0.615,"(-0.194, 2.216)",1.64,0.1,20.17
Anna,1.539,0.846,"(-0.119, 3.198)",1.82,0.069,2.02
Annandale,-0.528,0.734,"(-1.967, 0.912)",-0.72,0.472,3.04
Annapolis,0.068,0.647,"(-1.201, 1.337)",0.1,0.917,7.08
Antioch,0.258,0.635,"(-0.988, 1.504)",0.41,0.685,9.09
Apex,-0.401,0.692,"(-1.758, 0.955)",-0.58,0.562,4.04
